University,Topic,Question,Expected_Answer
Thakur College of Engineering and Technology,Fees,What is the tuition fee for Thakur College of Engineering and Technology?,The tuition fee for Thakur College of Engineering and Technology is 2025 per semester.
Thakur College of Engineering and Technology,Placements,What is the highest placement package at Thakur College of Engineering and Technology?,The highest placement package at Thakur College of Engineering and Technology is 37.3 Lakh Per Annum.
Thakur College of Engineering and Technology,Facilities,Does Thakur College of Engineering and Technology have a hostel and what is the fee?,"Yes, Thakur College of Engineering and Technology has a hostel for both boys and girls. The fee is 57039 and the mess fee is 37185."
Thakur College of Engineering and Technology,Facilities,What are the library timings for Thakur College of Engineering and Technology?,The library timings for Thakur College of Engineering and Technology are 8:00 AM to 8:00 PM.
Thakur College of Engineering and Technology,Academics,What is the attendance rule at Thakur College of Engineering and Technology?,The attendance rule at Thakur College of Engineering and Technology is Minimum 75% attendance mandatory.
Atharva College of Engineering,Fees,What is the tuition fee for Atharva College of Engineering?,The tuition fee for Atharva College of Engineering is 124458 per semester.
Atharva College of Engineering,Placements,What is the highest placement package at Atharva College of Engineering?,The highest placement package at Atharva College of Engineering is 43.2 Lakh Per Annum.
Atharva College of Engineering,Facilities,Does Atharva College of Engineering have a hostel and what is the fee?,"Yes, Atharva College of Engineering has a hostel for both boys and girls. The fee is 54140 and the mess fee is 27026."
Atharva College of Engineering,Facilities,What are the library timings for Atharva College of Engineering?,The library timings for Atharva College of Engineering are 8:00 AM to 8:00 PM.
Atharva College of Engineering,Academics,What is the attendance rule at Atharva College of Engineering?,The attendance rule at Atharva College of Engineering is Minimum 75% attendance mandatory.
Bhagwan Parshuram Institute of Technology,Fees,What is the tuition fee for Bhagwan Parshuram Institute of Technology?,The tuition fee for Bhagwan Parshuram Institute of Technology is 2026 per semester.
Bhagwan Parshuram Institute of Technology,Placements,What is the highest placement package at Bhagwan Parshuram Institute of Technology?,The highest placement package at Bhagwan Parshuram Institute of Technology is 34.5 Lakh Per Annum.
